Id,Abstract,Task 1
D06501,"In this paper we present the Creative Invention Benchmark (CrIB), a 2000-problem benchmark for evaluating a particular facet of computational creativity.$$$Specifically, we address combinational p-creativity, the creativity at play when someone combines existing knowledge to achieve a solution novel to that individual.$$$We present generation strategies for the five problem categories of the benchmark and a set of initial baselines.",OBJECTIVES BACKGROUND METHODS
D02945,"Computer algorithms are written with the intent that when run they perform a useful function.$$$Typically any information obtained is unknown until the algorithm is run.$$$However, if the behavior of an algorithm can be fully described by precomputing just once how this algorithm will respond when executed on any input, this precomputed result provides a complete specification for all solutions in the problem domain.$$$We apply this idea to a previous anomaly detection algorithm, and in doing so transform it from one that merely detects individual anomalies when asked to discover potentially anomalous values, into an algorithm also capable of generating a complete specification for those values it would deem to be anomalous.$$$This specification is derived by examining no more than a small training data, can be obtained in very small constant time, and is inherently far more useful than results obtained by repeated execution of this tool.$$$For example, armed with such a specification one can ask how close an anomaly is to being deemed normal, and can validate this answer not by exhaustively testing the algorithm but by examining if the specification so generated is indeed correct.$$$This powerful idea can be applied to any algorithm whose runtime behavior can be recovered from its construction and so has wide applicability.",BACKGROUND BACKGROUND OBJECTIVES METHODS/RESULTS RESULTS RESULTS CONCLUSIONS
D02025,"The problem of finding the maximum number of vertex-disjoint uni-color paths in an edge-colored graph (called MaxCDP) has been recently introduced in literature, motivated by applications in social network analysis.$$$In this paper we investigate how the complexity of the problem depends on graph parameters (namely the number of vertices to remove to make the graph a collection of disjoint paths and the size of the vertex cover of the graph), which makes sense since graphs in social networks are not random and have structure.$$$The problem was known to be hard to approximate in polynomial time and not fixed-parameter tractable (FPT) for the natural parameter.$$$Here, we show that it is still hard to approximate, even in FPT-time.$$$Finally, we introduce a new variant of the problem, called MaxCDDP, whose goal is to find the maximum number of vertex-disjoint and color-disjoint uni-color paths.$$$We extend some of the results of MaxCDP to this new variant, and we prove that unlike MaxCDP, MaxCDDP is already hard on graphs at distance two from disjoint paths.",BACKGROUND OBJECTIVES BACKGROUND OBJECTIVES/METHODS OBJECTIVES/METHODS OBJECTIVES
D00264,"Real-world machine learning applications often have complex test metrics, and may have training and test data that follow different distributions.$$$We propose addressing these issues by using a weighted loss function with a standard convex loss, but with weights on the training examples that are learned to optimize the test metric of interest on the validation set.$$$These metric-optimized example weights can be learned for any test metric, including black box losses and customized metrics for specific applications.$$$We illustrate the performance of our proposal with public benchmark datasets and real-world applications with domain shift and custom loss functions that balance multiple objectives, impose fairness policies, and are non-convex and non-decomposable.",BACKGROUND METHODS METHODS RESULTS
D04351,"Typically an ontology matching technique is a combination of much different type of matchers operating at various abstraction levels such as structure, semantic, syntax, instance etc.$$$An ontology matching technique which employs matchers at all possible abstraction levels is expected to give, in general, best results in terms of precision, recall and F-measure due to improvement in matching opportunities and if we discount efficiency issues which may improve with better computing resources such as parallel processing.$$$A gold standard ontology matching model is derived from a model classification of ontology matching techniques.$$$A suitable metric is also defined based on gold standard ontology matching model.$$$A review of various ontology matching techniques specified in recent research papers in the area was undertaken to categorize an ontology matching technique as per newly proposed gold standard model and a metric value for the whole group was computed.$$$The results of the above study support proposed gold standard ontology matching model.",BACKGROUND BACKGROUND/OBJECTIVES/METHODS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/RESULTS
D03425,"This paper focuses on improved edge model based on Curvelet coefficients analysis.$$$Curvelet transform is a powerful tool for multiresolution representation of object with anisotropic edge.$$$Curvelet coefficients contributions have been analyzed using Scale Invariant Feature Transform (SIFT), commonly used to study local structure in images.$$$The permutation of Curvelet coefficients from original image and edges image obtained from gradient operator is used to improve original edges.$$$Experimental results show that this method brings out details on edges when the decomposition scale increases.",OBJECTIVES BACKGROUND METHODS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D06749,"The automatic parking is being massively developed by car manufacturers and providers.$$$Until now, there are two problems with the automatic parking.$$$First, there is no openly-available segmentation labels of parking slot on panoramic surround view (PSV) dataset.$$$Second, how to detect parking slot and road structure robustly.$$$Therefore, in this paper, we build up a public PSV dataset.$$$At the same time, we proposed a highly fused convolutional network (HFCN) based segmentation method for parking slot and lane markings based on the PSV dataset.$$$A surround-view image is made of four calibrated images captured from four fisheye cameras.$$$We collect and label more than 4,200 surround view images for this task, which contain various illuminated scenes of different types of parking slots.$$$A VH-HFCN network is proposed, which adopts an HFCN as the base, with an extra efficient VH-stage for better segmenting various markings.$$$The VH-stage consists of two independent linear convolution paths with vertical and horizontal convolution kernels respectively.$$$This modification enables the network to robustly and precisely extract linear features.$$$We evaluated our model on the PSV dataset and the results showed outstanding performance in ground markings segmentation.$$$Based on the segmented markings, parking slots and lanes are acquired by skeletonization, hough line transform and line arrangement.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS RESULTS METHODS METHODS RESULTS RESULTS RESULTS
D06216,"Understanding nonlinear dynamical systems (NLDSs) is challenging in a variety of engineering and scientific fields.$$$Dynamic mode decomposition (DMD), which is a numerical algorithm for the spectral analysis of Koopman operators, has been attracting attention as a way of obtaining global modal descriptions of NLDSs without requiring explicit prior knowledge.$$$However, since existing DMD algorithms are in principle formulated based on the concatenation of scalar observables, it is not directly applicable to data with dependent structures among observables, which take, for example, the form of a sequence of graphs.$$$In this paper, we formulate Koopman spectral analysis for NLDSs with structures among observables and propose an estimation algorithm for this problem.$$$This method can extract and visualize the underlying low-dimensional global dynamics of NLDSs with structures among observables from data, which can be useful in understanding the underlying dynamics of such NLDSs.$$$To this end, we first formulate the problem of estimating spectra of the Koopman operator defined in vector-valued reproducing kernel Hilbert spaces, and then develop an estimation procedure for this problem by reformulating tensor-based DMD.$$$As a special case of our method, we propose the method named as Graph DMD, which is a numerical algorithm for Koopman spectral analysis of graph dynamical systems, using a sequence of adjacency matrices.$$$We investigate the empirical performance of our method by using synthetic and real-world data.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS RESULTS
D06363,"A body of literature has demonstrated that users' mental health conditions, such as depression and anxiety, can be predicted from their social media language.$$$There is still a gap in the scientific understanding of how psychological stress is expressed on social media.$$$Stress is one of the primary underlying causes and correlates of chronic physical illnesses and mental health conditions.$$$In this paper, we explore the language of psychological stress with a dataset of 601 social media users, who answered the Perceived Stress Scale questionnaire and also consented to share their Facebook and Twitter data.$$$Firstly, we find that stressed users post about exhaustion, losing control, increased self-focus and physical pain as compared to posts about breakfast, family-time, and travel by users who are not stressed.$$$Secondly, we find that Facebook language is more predictive of stress than Twitter language.$$$Thirdly, we demonstrate how the language based models thus developed can be adapted and be scaled to measure county-level trends.$$$Since county-level language is easily available on Twitter using the Streaming API, we explore multiple domain adaptation algorithms to adapt user-level Facebook models to Twitter language.$$$We find that domain-adapted and scaled social media-based measurements of stress outperform sociodemographic variables (age, gender, race, education, and income), against ground-truth survey-based stress measurements, both at the user- and the county-level in the U.S. Twitter language that scores higher in stress is also predictive of poorer health, less access to facilities and lower socioeconomic status in counties.$$$We conclude with a discussion of the implications of using social media as a new tool for monitoring stress levels of both individuals and counties.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS RESULTS RESULTS METHODS RESULTS CONCLUSIONS
D05590,"There are now several large scale deployments of differential privacy used to collect statistical information about users.$$$However, these deployments periodically recollect the data and recompute the statistics using algorithms designed for a single use.$$$As a result, these systems do not provide meaningful privacy guarantees over long time scales.$$$Moreover, existing techniques to mitigate this effect do not apply in the ""local model"" of differential privacy that these systems use.$$$In this paper, we introduce a new technique for local differential privacy that makes it possible to maintain up-to-date statistics over time, with privacy guarantees that degrade only in the number of changes in the underlying distribution rather than the number of collection periods.$$$We use our technique for tracking a changing statistic in the setting where users are partitioned into an unknown collection of groups, and at every time period each user draws a single bit from a common (but changing) group-specific distribution.$$$We also provide an application to frequency and heavy-hitter estimation.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS
